Roll Number,dist_to_grocer_m,grocer_chain,grocer_store,grocer_id
9010389000,1815.2679981303017,Safeway,Safeway Transcona,12
9010140200,1684.3681744647986,Safeway,Safeway Transcona,12
9010168100,1720.6438549440143,Safeway,Safeway Transcona,12
9010366300,1747.3492000906454,Safeway,Safeway Transcona,12
9010138200,1691.009085384967,Safeway,Safeway Transcona,12
9010349300,1694.4922587228198,Safeway,Safeway Transcona,12
9010474760,1955.9532019299447,Safeway,Safeway Transcona,12
9010355700,1693.5160007722043,Safeway,Safeway Transcona,12
9010128400,1687.7157653755523,Safeway,Safeway Transcona,12
9010328300,1672.10403814392,Safeway,Safeway Transcona,12
9010390100,1832.317841230193,Safeway,Safeway Transcona,12
9010349200,1690.7592910134183,Safeway,Safeway Transcona,12
9010035600,1672.6332205372134,Safeway,Safeway Transcona,12
9010474850,1971.394791120706,Safeway,Safeway Transcona,12
9010368000,1755.4458746090863,Safeway,Safeway Transcona,12
9010137800,1685.4056111988311,Safeway,Safeway Transcona,12
9010138000,1699.1045309278159,Safeway,Safeway Transcona,12
9010167900,1720.3779412856215,Safeway,Safeway Transcona,12
9010474670,1873.1534073186049,Safeway,Safeway Transcona,12
9010387300,1796.3803275677806,Safeway,Safeway Transcona,12
9010349100,1685.9000083905066,Safeway,Safeway Transcona,12
9010307500,1694.487089051522,Safeway,Safeway Transcona,12
9010474490,1842.8505715032413,Safeway,Safeway Transcona,12
9010366200,1733.1506567156894,Safeway,Safeway Transcona,12
9010125400,1668.6529625304331,Safeway,Safeway Transcona,12
9010035400,1663.4877225533326,Safeway,Safeway Transcona,12
9010306800,1682.7308121519102,Safeway,Safeway Transcona,12
9010328200,1660.7009084156396,Safeway,Safeway Transcona,12
9010140000,1671.3139457828695,Safeway,Safeway Transcona,12
9010329100,1677.39979676487,Safeway,Safeway Transcona,12
9010390000,1820.0318932775854,Safeway,Safeway Transcona,12
9010128200,1673.7530419332647,Safeway,Safeway Transcona,12
9010387200,1782.9030319542283,Safeway,Safeway Transcona,12
9010329200,1664.3007994250588,Safeway,Safeway Transcona,12
9010478045,2034.2863018071957,Safeway,Safeway Transcona,12
9010348900,1673.0423378461105,Safeway,Safeway Transcona,12
9010368100,1743.5746302484301,Safeway,Safeway Transcona,12
9010366100,1718.0124557802424,Safeway,Safeway Transcona,12
9010365900,1767.3571564934982,Safeway,Safeway Transcona,12
9010474665,1861.0031474881227,Safeway,Safeway Transcona,12
9010137600,1672.2013010411704,Safeway,Safeway Transcona,12
9010142800,1701.656549602261,Safeway,Safeway Transcona,12
9010138400,1677.5163928448362,Safeway,Safeway Transcona,12
9010307400,1682.2437191260487,Safeway,Safeway Transcona,12
9010307300,1670.8212224105366,Safeway,Safeway Transcona,12
9010035200,1654.3422681686582,Safeway,Safeway Transcona,12
9010474485,1831.223261330176,Safeway,Safeway Transcona,12
9010389100,1803.582606490708,Safeway,Safeway Transcona,12
9010143000,1688.262774520849,Safeway,Safeway Transcona,12
9010348800,1665.468249766657,Safeway,Safeway Transcona,12
9010125200,1653.2396875705974,Safeway,Safeway Transcona,12
9010328100,1649.1340445982798,Safeway,Safeway Transcona,12
9010169100,1722.9277004216765,Safeway,Safeway Transcona,12
9010169300,1722.56144439215,Safeway,Safeway Transcona,12
9010139800,1658.284036506516,Safeway,Safeway Transcona,12
9010306700,1670.0544924979674,Safeway,Safeway Transcona,12
9010168900,1724.1055043263957,Safeway,Safeway Transcona,12
9010474840,1944.184362854684,Safeway,Safeway Transcona,12
9010389900,1808.0408056675797,Safeway,Safeway Transcona,12
9010035000,1645.196812151565,Safeway,Safeway Transcona,12
9010128000,1659.5914194294878,Safeway,Safeway Transcona,12
9010366000,1766.8494283558653,Safeway,Safeway Transcona,12
9010389200,1790.7582474681196,Safeway,Safeway Transcona,12
9010350200,1688.9975947001838,Safeway,Safeway Transcona,12
9010368200,1732.4452851726548,Safeway,Safeway Transcona,12
9010329300,1651.9504545735394,Safeway,Safeway Transcona,12
9010474660,1849.267885264204,Safeway,Safeway Transcona,12
9010348700,1657.3213420159937,Safeway,Safeway Transcona,12
9010368300,1727.524419569305,Safeway,Safeway Transcona,12
9010349400,1697.2154623609872,Safeway,Safeway Transcona,12
9010168700,1723.6494159806402,Safeway,Safeway Transcona,12
9010333900,1664.286703291156,Safeway,Safeway Transcona,12
9010349500,1698.9117057420467,Safeway,Safeway Transcona,12
9010137400,1659.23521613479,Safeway,Safeway Transcona,12
9010478025,2049.8132436165542,Safeway,Safeway Transcona,12
9010474480,1819.614984234511,Safeway,Safeway Transcona,12
9010349600,1699.5745102992335,Safeway,Safeway Transcona,12
9010368400,1718.3768361993189,Safeway,Safeway Transcona,12
9010138600,1664.8571851005238,Safeway,Safeway Transcona,12
9010328000,1636.0998138498887,Safeway,Safeway Transcona,12
9010349700,1699.1943690181895,Safeway,Safeway Transcona,12
9010168500,1721.5807422653818,Safeway,Safeway Transcona,12
9010389300,1776.7056894495304,Safeway,Safeway Transcona,12
9010368500,1711.559678070323,Safeway,Safeway Transcona,12
9010334100,1666.1563345263496,Safeway,Safeway Transcona,12
9010034800,1635.7515333307292,Safeway,Safeway Transcona,12
9010349800,1697.7767991274445,Safeway,Safeway Transcona,12
9010474835,1931.0668119027232,Safeway,Safeway Transcona,12
9010306600,1657.6045248524763,Safeway,Safeway Transcona,12
9010139600,1645.4233587020913,Safeway,Safeway Transcona,12
9010368600,1705.2158124093846,Safeway,Safeway Transcona,12
9010389800,1796.343763097114,Safeway,Safeway Transcona,12
9010349000,1679.8876601801205,Safeway,Safeway Transcona,12
9010478020,1966.1375396138633,Safeway,Safeway Transcona,12
9010349900,1695.2762395388775,Safeway,Safeway Transcona,12
9010474655,1837.7581733647241,Safeway,Safeway Transcona,12
9010368700,1698.3619065995347,Safeway,Safeway Transcona,12
9010329400,1642.6395385090832,Safeway,Safeway Transcona,12
9010387100,1761.9724771818885,Safeway,Safeway Transcona,12
9010125000,1634.9726894599607,Safeway,Safeway Transcona,12
9010474475,1808.0249288849811,Safeway,Safeway Transcona,12
9010137200,1646.4247978949616,Safeway,Safeway Transcona,12
9010034600,1626.3063035109944,Safeway,Safeway Transcona,12
9010350000,1688.7077232330341,Safeway,Safeway Transcona,12
9010333500,1643.0822413363928,Safeway,Safeway Transcona,12
9010368800,1692.8220121187799,Safeway,Safeway Transcona,12
9010387000,1760.1461736199194,Safeway,Safeway Transcona,12
9010167500,1719.985572338539,Safeway,Safeway Transcona,12
9010167700,1720.2470166696921,Safeway,Safeway Transcona,12
9010477960,2007.6862867997916,Safeway,Safeway Transcona,12
9010474830,1917.9533225654816,Safeway,Safeway Transcona,12
9010332700,1644.4151467143104,Safeway,Safeway Transcona,12
9010306500,1646.0471334074925,Safeway,Safeway Transcona,12
9010139400,1633.5183001877588,Safeway,Safeway Transcona,12
